cycle,first(math_TB).S,first(math_TB).I,first(math_TB).Le,first(math_TB).Lf,first(math_TB).T,first(math_TB).K,first(math_TB).R1,first(math_TB).R2
101,325.66053219692,0.01320422395190597,0.0045429002552818,0.00357108492428535,0.00024900007120505,0.00074700021361515,90.31023041260477,26.878044765655964
102,327.7483766296912,0.01112619515978054,0.0038303501262737,0.00301350474581637,0.00021019869520957,0.0006305960856287,88.15654375723025,26.237066594413555
103,329.78707360110127,0.00936656806926955,0.0032265444246667,0.00254055833055435,0.00017727332308056,0.00053181996924167,86.05347945192588,25.611154598787262
104,331.7776840192665,0.0078781423328193,0.00271544070489656,0.00213984248117047,0.00014936517245855,0.00044809551737564,83.99995536854713,24.999986716829273
105,333.7212595254669,0.00662042602954383,0.0022832627492936,0.00180069158084672,0.00012573536766318,0.00037720610298954,81.99489728673984,24.403243240100934
106,335.61884057870424,0.00555873423573712,0.00191819847528277,0.00151394851279909,0.00010574919846763,0.00031724759540289,80.03724106871701,23.820607460927498
107,337.4714548461489,0.00466339942342341,0.00161013489624107,0.00127176323680466,0.00008886226827737,0.00026658680483211,78.12593449823443,23.251766219712444
108,339.2801158647277,0.00390908147126091,0.00135042616255679,0.00106741613400759,0.00007460833617619,0.00022382500852856,76.25993882098524,22.696410363388278
109,341.0458219420598,0.00327416610814425,0.00113169103283617,0.00089516345225494,0.00006258867195133,0.000187766015854,74.43823002063984,22.15423512519023
110,342.7695552678129,0.00274024161437992,0.00094763644174618,0.00075010240367107,0.00005246275782516,0.00015738827347549,72.65979986179991,21.624940435059287
111,344.4522812093119,0.00229164456659362,0.00079290413631193,0.00062805368042169,0.00004394018494316,0.00013182055482949,70.92365672828083,21.108231169130995
112,346.0949477678264,0.00191506632220487,0.00066293764339796,0.00052545936082751,0.00003677360649917,0.0001103208194975,69.22882628239941,20.603817345952
113,347.6984851744119,0.00159921279185123,0.00055386710536217,0.00043929437410198,0.00003075262256965,0.00009225786770896,67.57435196836273,20.11141427629823
114,349.26380560645424,0.00133451084039477,0.00046240977706996,0.00036698987659256,0.00002569848417757,0.00007709545253271,65.95929538043568,19.63074267274853
115,350.7918030081463,0.00111285538783177,0.00038578421484927,0.0003063670646218,0.00002145951574559,0.00006437854723678,64.38273651431977,19.16152872449973
116,352.28335300006574,0.00092739195080284,0.00032163640635539,0.00025558010841446,0.00001790716589346,0.00005372149768037,62.84377391810973,18.703504142294346
117,353.7393128647572,0.00077232997487988,0.00026797628991733,0.00021306703807415,0.00001493260647284,0.00004479781941852,61.341524757304676,18.256406177769065
118,355.16052159680095,0.00064278285967794,0.00022312329330363,0.00017750754632822,0.00001244380882476,0.00003733142647428,59.87512480663086,17.81997762102092
119,356.5478000072936,0.00053463107602002,0.00018565968575899,0.00014778679419264,0.00001036303451154,0.00003108910353463,58.443728379879495,17.393966779725893
120,357.9019508739209,0.00044440522020288,0.00015439068457726,0.00012296441537535,0.00000862468525273,0.00002587405575819,57.046508207565935,16.978127442727782
121,359.22375912896274,0.00036918624845773,0.00012831038945314,0.00010224801379681,0.00000717346352373,0.00002152039057118,55.682655270963835,16.572218830643802
122,360.5139920785724,0.0003065204886688,0.00010657273551635,0.00008497053679082,0.00000596280130497,0.00001788840391492,54.35137859995384,16.176005535700376
123,361.7733996475737,0.00025434734001518,0.00008846676044218,0.00007057098512338,0.00000495351984803,0.0000148605595441,53.05190504113542,15.789257452718713
124,363.00271464481096,0.00021093784807235,0.00007339557349023,0.00005857799070952,0.00000411268810461,0.00001233806431382,51.78347900177354,15.411749702908628
125,364.2026530447864,0.00017484258655577,0.00006085849585502,0.00004859585458918,0.00000341265169646,0.00001023795508937,50.545362174382184,15.043262551899295
126,365.3739142819224,0.0001448474906381,0.0000504359133813,0.00004029269209181,0.00000283020803827,0.00000849062411481,49.33683324606615,14.683581323233811
127,366.5171815543251,0.00011993647375203,0.00004177644550692,0.00003339037989008,0.00000234590650986,0.00000703771952957,48.157187596151324,14.332496308378213
128,367.63312213439553,0.00009925982290809,0.00003458608918649,0.0000276560414935,0.00000194345545404,0.00000583036636213,47.0057369851131,13.989802674140668
129,368.72238768402167,0.0000821075094894,0.00002861904439081,0.00002289484429254,0.00000160922029493,0.00000482766088478,45.88180923736368,13.65530036826286
130,369.78561457245314,0.00006788667568304,0.00002366996936874,0.00001894391311804,0.00000133179926717,0.00000399539780152,44.784747920065435,13.328794023828848
131,370.8234241952527,0.00005610266339406,0.00001956744993108,0.00001566719296514,0.00000110166515724,0.00000330499547173,43.71391201980049,13.010092863035714
132,371.83642329297925,0.00004634304467341,0.00001616849822946,0.00001295111753391,0.00000091086311498,0.00000273258934495,42.668675618632804,12.69901060078343
133,372.8252042684859,0.00003826419217743,0.00001335392345472,0.00001070096100332,0.00000075275602896,0.00000225826808688,41.648427570846565,12.395365348466113
134,373.7903455019063,0.00003157999657673,0.00001102444010149,0.000008837768379,0.00000062181019855,0.00000186543059564,40.65257118143006,12.098979518282643
135,374.73241166256463,0.00002605239657927,0.00000909739941597,0.00000729577519554,0.00000051341510439,0.00000154024531318,39.68052388718605,11.809679728329074
136,375.6519540171903,0.00002148343759676,0.00000750404678507,0.00000602024062853,0.00000042373199829,0.00000127119599486,38.73171694119298,11.527296708688286
137,376.54951073393784,0.00001770861818471,0.00000618722251088,0.00000496562946332,0.00000034956682279,0.00000104870046838,37.80559510120501,11.25166520869187
138,377.4256071818037,0.00001459132021137,0.00000509943597616,0.00000409408812526,0.0000002882636479,0.0000008647909437,36.90161632246345,10.982623905494977
139,378.28075622513586,0.00001201815012132,0.00000420125393198,0.00000337416832046,0.00000023761539081,0.00000071284617243,36.01925145529525,10.720015314075887
140,379.11545851298916,0.00000989504541154,0.00000345995278315,0.00000277975896025,0.00000019578907968,0.00000058736723904,35.15798394779079,10.463685698747181
141,379.93020276314684,0.00000814402318756,0.00000284839253113,0.00000228919311421,0.00000016126334396,0.00000048379003188,34.31730955378325,10.213484986244936
142,380.7254660406851,0.00000670046698681,0.00000234407665033,0.00000188450190518,0.00000013277617324,0.00000039832851973,33.496736046293364,9.969266680444404
143,381.50171403098835,0.00000551086443939,0.00000192836778972,0.00000155079165142,0.00000010928129198,0.00000032784387594,32.695782936554245,9.73088777873634
144,382.25940130717294,0.00000453092221176,0.00000158583395231,0.0000012757242885,0.0000000899117568,0.00000026973527039,31.913981198688187,9.498208690085733
145,382.99897159189754,0.00000372399641548,0.00000130370383475,0.0000010490842626,0.00000007394960308,0.00000022184880925,31.150873000075244,9.271093154784253
146,383.7208580135658,0.00000305978657738,0.00000107141341672,0.00000086241776093,0.00000006080055379,0.00000018240166138,30.406011437422453,9.049408165899495
147,384.425483356949,0.00000251324963406,0.00000088022876708,0.00000070873240533,0.00000004997296093,0.00000014991888279,29.67896027852075,8.833023892416842
148,385.1132603082726,0.000002063697465,0.00000072293246082,0.00000058224744353,0.00000004106028322,0.00000012318084967,28.969293709655933,8.621813604064219
149,385.7845916948202,0.00000169404741483,0.00000059356304539,0.00000047818608271,0.00000003372651585,0.00000010117954754,28.276596088625254,8.41565359780509
150,386.439870719127,0.00000139020024859,0.00000048719871638,0.00000039260296559,0.00000002769408257,0.00000008308224771,27.600461703297302,8.214423125981297
151,387.0794811878349,0.00000114052417836,0.00000039977780893,0.00000032224093065,0.00000002273378052,0.00000006820134157,26.9404945356434,8.018004326084299
152,387.7037977352962,0.00000093542712041,0.00000032794992676,0.00000026441215724,0.00000001865643464,0.00000005596930391,26.29630803116026,7.826282152130986
153,388.31318604201283,0.00000076700229434,0.00000026895255017,0.00000021689960207,0.00000001530597513,0.0000000459179254,25.667524873597042,7.6391443076181265
154,388.9080030480037,0.00000062873474903,0.00000022050881921,0.00000017787530936,0.00000001255369879,0.00000003766109638,25.053776764895193,7.456481180028293
155,389.48859716119745,0.00000051525846993,0.00000018074290379,0.00000014583274335,0.00000001029351414,0.00000003088054242,24.454704210246035,7.278185776858901
156,390.05530846094314,0.00000042215545388,0.00000014810997178,0.00000011953076646,0.00000000843800405,0.00000002531401214,23.86995630816795,7.104153663145185
157,390.60846889674724,0.0000003457895835,0.00000012133826669,0.00000009794728315,0.00000000691516696,0.00000002074550089,23.299190545503716,6.934282900447497
158,391.1484024823243,0.00000028316934145,0.00000009938122481,0.00000008024090137,0.00000000566572115,0.00000001699716345,22.74207259723727,6.768473987272963
159,391.67542548507237,0.00000023183441169,0.00000008137791096,0.00000006571924069,0.00000000464087584,0.00000001392262751,22.198276131028866,6.606629800901406
160,392.1898466110626,0.00000018976205511,0.00000006662034313,0.00000005381274742,0.00000000380048926,0.00000001140146778,21.66748261636721,6.448655540585433
161,392.6919671856497,0.00000015528984613,0.00000005452651879,0.00000004405307001,0.00000000311154721,0.00000000933464164,21.149381138238397,6.294458672094716
162,393.1820813297974,0.00000012705193924,0.00000004461815816,0.00000003605520863,0.00000000254690686,0.00000000764072058,20.643668215211484,6.143948873574801
163,393.66047613221224,0.00000010392651864,0.00000003650234731,0.00000002950278695,0.00000000208426009,0.00000000625278026,20.150047621841676,5.997037982690933
164,394.12743181738796,0.00000008499248685,0.0000000298564044,0.00000002413590508,0.00000000170527837,0.0000000051158351,19.668230215293637,5.853639945027833
165,394.583221909651,0.00000006949378238,0.00000002441540815,0.00000001974112576,0.00000000139490766,0.00000000418472299,19.19793376608871,5.713670763716841
166,395.0281133932948,0.0000000568099944,0.00000001996192447,0.00000001614322241,0.0000000011407873,0.00000000342236189,18.738882792880887,5.577048450262127
